time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
1.740000000000001,0.93260876135,1.10139659462,0.0,6.20659496214,6.23317707364,0.0,1.4009459441,-1.29119905552,-15.0404468786,24.2177556819,-0.0645638435273,0.0,898.619577466,898.877111243,235.233414752,806.723080315,11,-36.5050066829
1.740000000000001,0.614229761179,-0.368173834643,0.0,0.10146588337,6.23424155207,0.0,0.928399437235,-1.37432417557,-13.1665038018,18.8098864413,-0.156931275981,0.0,900.339111471,899.358278197,425.104880945,579.761255506,12,-36.0103461686
1.740000000000001,2.77518978018,-3.43301652023,0.0,2.37359878069,6.04178276324,0.0,5.28959427782,-4.11783718711,-10.6860168413,18.2682726155,-0.199410253577,0.0,899.59299814,898.459705637,234.029437394,685.121204648,13,-37.472455687
1.560000000000001,0.0147273183884,0.484351219342,0.0,4.99581317268,0.0772663673973,0.0,-0.508182453607,-2.571735826,-10.8854151062,8.13696717166,0.147327425179,0.0,898.751730122,897.555411259,482.71952036,712.094839896,14,-35.2143969419
1.5000000000000009,-1.35764666758,-0.468632181832,0.0,3.3375702298,0.134694344247,0.0,-3.16016848106,-0.405291038464,-13.4149332423,20.4067406076,0.0976470909126,0.0,899.062444435,899.175004842,565.717581137,775.141827224,15,-32.8145141591
1.4400000000000008,0.17942405526,-0.816929086507,0.0,4.4326860831,6.19722736999,0.0,0.874136643735,0.115623452665,-14.7516539594,25.4279607266,-0.168037883865,0.0,900.350581677,899.646212246,345.375614548,823.941897618,16,-31.4418785517
1.5000000000000009,-1.46946383312,-1.94992452654,0.0,6.17561808409,0.249204878433,0.0,-4.17036392581,-3.31739142115,-14.9167742296,24.6456444132,0.364463307684,0.0,898.686196966,899.202035544,336.374974282,868.794890933,17,-32.5291898025
1.2600000000000007,0.31481282178,0.0946700844846,0.0,2.32292106383,6.26277745797,0.0,0.686352825792,0.51501285472,-13.6935148466,21.2803858211,0.0242832880324,0.0,900.268159147,900.923837809,610.521737814,889.26615228,18,-28.6606642931
1.3800000000000008,-0.0334564271653,-5.22478452795,0.0,3.40880661917,6.25439314392,0.0,0.0763332712252,-4.19138298389,-15.232845712,25.8667472852,-0.0902464763246,0.0,899.860075151,899.693873562,324.452094599,895.125201337,19,-30.4663507668
1.5000000000000009,-1.00652019556,-0.272834656175,0.0,1.42776503404,0.109455915796,0.0,-2.5370849368,-1.85842870579,-12.6472010504,19.322519554,0.116015677738,0.0,899.214779792,899.809474745,688.590195908,887.446088783,20,-33.1350260667
1.4400000000000008,-0.161467624125,-3.29178387556,0.0,6.095251315,0.0247249234735,0.0,-0.378053746481,-7.23667873695,-14.9354168154,19.7512368721,0.0520687481635,0.0,899.889668561,899.563930859,624.168381667,887.897108159,21,-31.9282361741
1.0200000000000005,0.102429931188,7.17169051137,0.0,5.42625210345,6.26095629806,0.0,0.413291727315,3.5637595173,-23.0291086184,6.31061303007,0.0105174103197,0.0,900.32838063,900.946835556,879.94346767,896.412659872,22,-22.9751453409
1.620000000000001,1.315487066,5.14290822673,0.0,3.82712771901,6.15050032531,0.0,3.53229473723,10.3885736939,-20.253307941,4.82604155945,-0.00321280831129,0.0,899.714951482,900.468680337,887.94706935,897.980537625,23,-35.292081866
2.2200000000000015,-2.06845941841,25.7077609026,0.0,1.44147586324,0.0982276442747,0.0,-3.39358522269,12.1016369644,-16.5954400134,13.3002225052,0.0630845616344,0.0,899.678434029,899.479938685,834.562218067,897.158010326,24,-38.1995469123
1.620000000000001,-2.3543146376,8.13424183841,0.0,3.21255384537,0.2739729723,0.0,-5.74634211228,7.19392568455,-15.3371063548,14.1401282989,0.397254262218,0.0,899.347561776,900.243551218,794.68071488,897.082413521,25,-33.3615431324
